OBJECTID,FID_,Date,Block,Street_or_,Building_C,Tree_Tag_N,Status,Species_Co,Common_Nam,Genus,Species,Ownership,Location_C,DBH,Number_of_,Percentage,Crown_Widt,Total_Heig,Latitude,Longitude,Height_to_,Unbalanced,Reduced_Cr,Weak_Yello,Defoliatio,Dead_Broke,Poor_Branc,Lean,Trunk_Scar,Branch_Sca,Conks,Rot_Cavity,Rot_Cavi_1,Crack,Confined_S,Girdling_R,Recent_Tre,Conflict_w,Conflict_1,Conflict_2,Conflict_3,Conflict_4,Cable_Brac,Comments,Additional,Replacemen,New_Specie,Transparen,locale,subway,sbwy100
3031,3030,6/11/2013,B,Bethune Court yard,11,1146,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,n,24.7,2,0,0,11,43.77352818,-79.50943543,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e,n,n,n,n,n,,,,,0,central,out,
3299,3298,6/17/2013,B,Steacie Science & Engineering Library,18,1414,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,51.2,1,0,16,14,43.77356967,-79.5063628,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Dead branch,,,,0,central,out,
3499,3498,6/18/2013,B,Shoreham Drive Lot,63,1614,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,25,1,0,12,15,43.77366819,-79.51418604,26,3,2,0,1,2,1,2,3,1,0,2,0,0,0,0,0,n,n,n,n,n,n,Broken branch,,,,0,periph,out,
3500,3499,6/18/2013,B,Shoreham Drive Lot,63,1615,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,34.5,1,0,9,14,43.77365798,-79.51413369,21,1,2,0,1,2,1,0,1,0,0,1,0,0,0,0,0,n,n,n,n,n,n,Broken branch,,,,0,periph,out,
3501,3500,6/18/2013,B,Shoreham Drive Lot,63,1616,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,32,1,0,9,14,43.77362268,-79.51416744,20,2,2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Broken branch,,,,0,periph,out,
3511,3510,6/18/2013,B,Shoreham Drive Lot,63,1626,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,35,1,0,11,14,43.77292209,-79.5138589,24,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,n,n,n,n,n,n,,,,,0,periph,out,
3512,3511,6/18/2013,B,Shoreham Drive Lot,63,1627,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,42.5,1,0,13,15,43.77287514,-79.51382106,26,2,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,n,n,n,n,n,n,Broken branch,,,,0,periph,out,
3516,3515,6/18/2013,B,Shoreham Drive Lot,63,1631,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,30,3,0,15,13,43.77274192,-79.5138331,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,,,,,0,periph,out,
3517,3516,6/18/2013,B,Shoreham Drive Lot,63,1632,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,29.5,1,0,12,12,43.77268448,-79.51384584,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,,,,,0,periph,out,
3518,3517,6/18/2013,B,Shoreham Drive Lot,63,1633,alive,olirus,Russian Olive,Elaeagnus,angustifolia,p,w,24,3,0,10,11,43.7726715,-79.51380918,21,0,2,0,2,2,2,1,0,0,0,0,0,0,0,0,0,n,n,n,e,n,n,,,,,0,periph,out,
